,PATH,LRFV,LPV
0,1,10/08/2019,24/05/2020
1,2,17/08/2019,31/05/2020
2,3,08/08/2019,22/05/2020
3,4,15/08/2019,29/05/2020
4,5,16/06/2018,20/05/2020
5,6,20/08/2016,27/05/2020
6,7,04/10/2018,18/05/2020
7,8,11/10/2018,25/05/2020
8,9,02/10/2018,01/06/2020
9,10,09/10/2018,23/05/2020
10,11,30/09/2018,30/05/2020
11,12,07/10/2018,21/05/2020
12,13,28/09/2018,28/05/2020
13,14,09/11/2019,19/05/2020
14,15,05/05/2018,26/05/2020
15,16,30/03/2020,17/05/2020
16,17,27/04/2016,24/05/2020
17,18,07/09/2015,31/05/2020
18,19,04/04/2020,22/05/2020
19,20,11/04/2020,29/05/2020
20,21,16/06/2018,20/05/2020
21,22,22/05/2018,27/05/2020
22,23,14/06/2018,18/05/2020
23,24,23/07/2018,25/05/2020
24,25,30/07/2018,01/06/2020
25,26,02/05/2018,23/05/2020
26,27,19/09/2014,30/05/2020
27,28,04/02/2016,21/05/2020
28,29,13/06/2014,28/05/2020
29,30,14/05/2018,19/05/2020
30,31,06/06/2018,26/05/2020
31,32,13/06/2018,17/05/2020
32,33,20/06/2018,24/05/2020
33,34,19/06/2015,31/05/2020
34,35,08/10/2018,22/05/2020
35,36,29/09/2018,29/05/2020
36,37,06/10/2018,20/05/2020
37,38,30/09/2019,27/05/2020
38,39,04/10/2018,18/05/2020
39,40,23/04/2020,25/05/2020
40,41,02/10/2018,01/06/2020
41,42,09/10/2018,23/05/2020
42,43,30/09/2018,30/05/2020
43,44,18/03/2020,21/05/2020
44,45,28/09/2018,28/05/2020
45,46,15/06/2018,19/05/2020
46,47,27/07/2019,26/05/2020
47,48,03/08/2019,17/05/2020
48,49,22/04/2020,24/05/2020
49,50,13/04/2020,31/05/2020
50,51,20/04/2020,22/05/2020
51,52,11/04/2020,29/05/2020
52,53,18/04/2020,20/05/2020
53,54,10/06/2019,27/05/2020
54,55,16/04/2020,18/05/2020
55,56,23/04/2020,25/05/2020
56,57,14/04/2020,01/06/2020
57,58,09/12/2017,23/05/2020
58,59,30/11/2017,30/05/2020
59,60,26/10/2019,21/05/2020
60,61,08/06/2018,28/05/2020
61,62,09/11/2019,19/05/2020
62,63,15/12/2018,26/05/2020
63,64,22/12/2018,17/05/2020
64,65,29/12/2018,24/05/2020
65,66,20/12/2018,31/05/2020
66,67,12/11/2019,22/05/2020
67,68,26/12/2015,29/05/2020
68,69,16/06/2018,20/05/2020
69,70,17/07/2015,27/05/2020
70,71,31/12/2015,18/05/2020
71,72,18/08/2016,25/05/2020
72,73,06/06/2016,01/06/2020
73,74,31/03/2018,23/05/2020
74,75,10/06/2018,30/05/2020
75,76,30/06/2017,21/05/2020
76,77,16/06/2015,28/05/2020
77,78,09/06/2016,19/05/2020
78,79,29/05/2015,26/05/2020
79,80,09/07/2016,17/05/2020
80,81,20/10/2016,24/05/2020
81,82,01/04/2015,01/06/2020
82,83,16/04/2018,23/05/2020
83,84,03/05/2016,30/05/2020
84,85,08/06/2015,20/05/2020
85,86,21/12/2014,27/05/2020
86,87,10/07/2016,18/05/2020
87,88,16/06/2016,26/05/2020
88,89,04/06/2015,01/06/2020
89,90,24/04/2015,23/05/2020
90,91,09/02/2020,31/05/2020
91,92,02/06/2018,22/05/2020
92,93,08/05/2018,29/05/2020
93,94,01/01/2016,19/05/2020
94,95,24/12/2015,27/05/2020
95,96,31/12/2015,18/05/2020
96,97,22/12/2015,25/05/2020
97,98,29/12/2015,01/06/2020
98,99,02/05/2018,23/05/2020
99,100,09/07/2017,30/05/2020
100,101,02/03/2020,21/05/2020
101,102,22/02/2020,28/05/2020
102,103,24/10/2019,19/05/2020
103,104,15/10/2019,26/05/2020
104,105,22/10/2019,17/05/2020
105,106,10/08/2019,24/05/2020
106,107,26/05/2018,31/05/2020
107,108,09/09/2019,22/05/2020
108,109,31/08/2019,29/05/2020
109,110,07/09/2019,20/05/2020
110,111,30/09/2019,27/05/2020
111,112,04/08/2019,18/05/2020
112,113,11/08/2019,25/05/2020
113,114,24/12/2019,01/06/2020
114,115,31/12/2019,23/05/2020
115,116,22/12/2019,30/05/2020
116,117,29/12/2019,21/05/2020
117,118,05/01/2020,28/05/2020
118,119,27/12/2019,19/05/2020
119,120,18/12/2019,26/05/2020
120,121,25/12/2019,17/05/2020
121,122,16/12/2019,24/05/2020
122,123,23/12/2019,31/05/2020
123,124,30/12/2019,22/05/2020
124,125,15/08/2019,29/05/2020
125,126,06/08/2019,20/05/2020
126,127,13/08/2019,27/05/2020
127,128,04/08/2019,18/05/2020
128,129,11/08/2019,25/05/2020
129,130,15/06/2019,01/06/2020
130,131,09/10/2018,23/05/2020
131,132,16/08/2019,30/05/2020
132,133,06/07/2019,21/05/2020
133,134,28/09/2018,28/05/2020
134,135,05/10/2018,19/05/2020
135,136,12/10/2018,26/05/2020
136,137,07/07/2015,17/05/2020
137,138,22/07/2018,24/05/2020
138,139,26/05/2018,31/05/2020
139,140,13/10/2014,22/05/2020
140,141,13/09/2018,29/05/2020
141,142,05/07/2019,20/05/2020
142,143,22/07/2017,27/05/2020
143,144,20/08/2019,18/05/2020
144,145,15/06/2016,25/05/2020
145,146,16/09/2018,01/06/2020
146,147,19/06/2018,23/05/2020
147,148,29/08/2018,30/05/2020
148,149,17/06/2018,21/05/2020
149,150,27/08/2018,28/05/2020
150,151,18/08/2018,19/05/2020
151,152,22/06/2018,26/05/2020
152,153,29/06/2018,17/05/2020
153,154,20/06/2018,24/05/2020
154,155,27/06/2018,31/05/2020
155,156,18/06/2018,22/05/2020
156,157,25/06/2018,29/05/2020
157,158,19/08/2018,20/05/2020
158,159,23/06/2018,27/05/2020
159,160,17/08/2018,18/05/2020
160,161,08/08/2018,25/05/2020
161,162,21/09/2014,01/06/2020
162,163,06/02/2016,23/05/2020
163,164,13/06/2019,30/05/2020
164,165,06/07/2019,21/05/2020
165,166,26/07/2018,28/05/2020
166,167,25/01/2019,19/05/2020
167,168,04/12/2014,26/05/2020
168,169,02/07/2019,17/05/2020
169,170,22/07/2018,24/05/2020
170,171,09/12/2014,31/05/2020
171,172,18/06/2018,22/05/2020
172,173,24/05/2018,29/05/2020
173,174,05/07/2019,20/05/2020
174,175,25/07/2018,27/05/2020
175,176,13/05/2018,18/05/2020
176,177,04/05/2018,25/05/2020
177,178,20/08/2014,01/06/2020
178,179,02/05/2018,23/05/2020
179,180,23/04/2018,30/05/2020
180,181,16/05/2018,21/05/2020
181,182,07/05/2018,28/05/2020
182,183,07/08/2014,19/05/2020
183,184,11/07/2019,26/05/2020
184,185,02/07/2019,17/05/2020
185,186,19/11/2015,24/05/2020
186,187,29/01/2016,31/05/2020
187,188,18/06/2018,22/05/2020
188,189,10/12/2015,29/05/2020
189,190,05/07/2019,20/05/2020
190,191,06/11/2015,27/05/2020
191,192,13/05/2018,18/05/2020
192,193,23/07/2018,25/05/2020
193,194,27/11/2015,01/06/2020
194,195,06/08/2018,23/05/2020
195,196,23/04/2018,30/05/2020
196,197,19/07/2018,21/05/2020
197,198,05/04/2018,28/05/2020
198,199,04/07/2019,19/05/2020
199,200,05/11/2015,26/05/2020
200,201,13/06/2018,17/05/2020
201,202,22/07/2018,24/05/2020
202,203,11/06/2018,31/05/2020
203,204,18/06/2018,22/05/2020
204,205,23/09/2016,29/05/2020
205,206,05/07/2019,20/05/2020
206,207,07/10/2016,27/05/2020
207,208,16/07/2018,18/05/2020
208,209,05/10/2016,25/05/2020
209,210,26/09/2016,01/06/2020
210,211,09/08/2019,23/05/2020
211,212,16/08/2019,30/05/2020
212,213,07/08/2019,21/05/2020
213,214,14/08/2019,28/05/2020
214,215,05/08/2019,19/05/2020
215,216,18/12/2019,26/05/2020
216,217,25/12/2019,17/05/2020
217,218,16/12/2019,24/05/2020
218,219,23/12/2019,31/05/2020
219,220,30/12/2019,22/05/2020
220,221,06/01/2020,29/05/2020
221,222,28/12/2019,20/05/2020
222,223,04/01/2020,27/05/2020
223,224,26/12/2019,18/05/2020
224,225,17/12/2019,25/05/2020
225,226,02/08/2019,01/06/2020
226,227,09/08/2019,23/05/2020
227,228,16/08/2019,30/05/2020
228,229,07/08/2019,21/05/2020
229,230,14/08/2019,28/05/2020
230,231,05/08/2019,19/05/2020
231,232,12/08/2019,26/05/2020
232,233,03/08/2019,17/05/2020
